Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,"Land Use, Land Use Change and Forestry (LULUCF)",National Inventory Total
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,
2004-05,2004-09-01,51.24222518981186,22.00956980793422,20.79766762378795,11.2320865035059,7.478412994880369,21.669767920921316,3.9671712526982836,20.341679848886514,158.73858114242643
,2004-12-01,46.27500931682633,19.063571454078055,21.70069240967633,10.633079932453052,7.512126215749242,21.669767920921313,3.9671712526982836,20.341679848886514,151.16309835128914
,2005-03-01,49.390565592528084,18.140572351626677,20.032339784517102,9.835624980507616,7.509836501967438,21.198686009596937,3.8809283993787584,19.899469417388968,149.88802303751157
,2005-06-01,49.76568788386981,22.399654582883368,20.138652088728346,11.090715074668715,7.629893121534338,21.434226965259132,3.9240498260385195,20.120574633137743,156.50345417612
2005-06,2005-09-01,52.44593924583331,22.038616867009026,21.13064305912698,11.403528356891465,7.778483375889745,21.243172860388853,3.9023481439994643,21.871474579870426,161.81420648900928
,2005-12-01,47.52640091125718,18.863390725903717,22.03675670785311,10.708895102468828,7.650167119646963,21.243172860388853,3.9023481439994643,21.871474579870426,153.80260615138855
,2006-03-01,50.29755723490573,17.839151677216698,20.349094516037695,10.036912136945334,7.515700417564125,20.781364754728223,3.8175144886951284,21.3960077411776,152.03330296727052
,2006-06-01,50.955918127784614,22.034467878151045,20.478430990914852,11.494024368697072,7.671578879621658,21.012268807558534,3.859931316347296,21.633741160524032,159.1403615295991
2006-07,2006-09-01,53.27973897552268,22.14474026750394,21.666503481539632,12.15106288302572,8.230667613948368,20.237046425978885,4.000780143103655,23.890651289597038,165.60119108021993
,2006-12-01,48.06822637175283,19.054949696630672,22.58825998602169,11.40530565122923,8.215126178337284,20.237046425978885,4.000780143103655,23.890651289597038,157.4603457426513
,2007-03-01,51.0140032247656,17.71817814741759,20.859640732015812,10.773656407877377,8.063168823153761,19.79711063410978,3.9138066617318343,23.37128930504057,155.5108539361123
,2007-06-01,51.67199782577494,22.22250083641889,21.00437611989423,12.296026116645237,8.150440759204487,20.01707853004433,3.9572934024177457,23.630970297318804,162.95068388771867
2007-08,2007-09-01,53.740991211468355,22.945012878232646,21.919767152596517,12.86195136961849,8.228073902632731,19.494253098947656,4.119018914837618,20.391446554593415,163.70051508292744
,2007-12-01,48.302912027061545,19.666426266734955,22.858818749580742,10.719850113190088,8.170463473183371,19.494253098947656,4.119018914837618,20.391446554593415,153.7231891981294
,2008-03-01,51.68819631566946,17.964195342924224,21.10716222825659,10.750816705184747,8.105448818608687,19.28235904352432,4.074246970111123,20.16980039639129,153.14222582067043
,2008-06-01,52.14036432380024,22.978612764409053,21.27782487919766,11.592281768624934,8.169892334117524,19.28235904352432,4.074246970111123,20.169800396391288,159.68538248017612
2008-09,2008-09-01,55.14314596224135,23.834005847623676,22.127866701908456,11.58928242299238,8.447562232761355,19.59624298230951,4.084957083666307,19.856674489025455,164.6797377225285
,2008-12-01,49.298140063598545,20.044390383614868,23.095403835241324,11.636229268603888,8.065976495562218,19.59624298230951,4.084957083666306,19.856674489025462,155.67801460162212
,2009-03-01,53.50586064932985,16.8216004752892,21.322521337161533,10.240300441825088,6.958376644051302,19.170237700085387,3.996153668803995,19.4250076523075,151.44005856885386
,2009-06-01,53.678472300931006,21.72516060566617,21.48114557665228,12.126695038721719,7.032631248391838,19.383240341197446,4.040555376235148,19.640841070666482,159.1087415584621
2009-10,2009-09-01,53.3151134988517,22.20688074014009,22.488619244697933,12.108852243225806,8.106059048834242,18.929424724984674,4.046440838913805,16.675917984968724,157.877308324617
,2009-12-01,47.944485201199406,19.356346769913564,23.505460689631466,11.055731099693343,8.397379826657046,18.929424724984678,4.046440838913804,16.675917984968724,149.91118713596202
,2010-03-01,51.85146796213837,18.114065330364532,21.699731874296305,10.556888318859102,8.463624177576708,18.517915491832834,3.958474733720027,16.31339802877375,149.47556591756162
,2010-06-01,51.91649440402154,23.005693523903343,21.847545106285306,11.606138789728082,8.471928909571794,18.723670108408754,4.002457786316915,16.494658006871244,156.06858663510698
2010-11,2010-09-01,51.48874025353335,23.11906185288857,23.148391879050983,12.302003904163612,8.640909275916707,20.147217793477612,3.9303564542073772,11.348740889159046,154.12542230239728
,2010-12-01,46.71277390795624,19.916212260618558,24.17097075708669,11.313946837053969,8.692958318393805,20.147217793477612,3.9303564542073772,11.348740889159048,146.2331772179533
,2011-03-01,50.162609084697685,18.596865459503643,22.331024978883967,9.45576809259273,8.529946208602963,19.709234797967227,3.8449139225941744,11.102029130699059,143.73239167554146
,2011-06-01,50.03995637078802,23.302090323783624,22.51813718943588,10.654452910544245,8.385325565394039,19.928226295722414,3.8876351884007736,11.22538500992905,149.94120885399806
2011-12,2011-09-01,51.11325941016639,25.060166143444604,23.40963387191039,11.317100642321478,8.611764872339181,20.471954274518612,3.5848532651791936,6.729547036878062,150.29827951675793
,2011-12-01,48.636156039381845,20.77054088064519,23.76341286421031,11.065136136648182,7.840649190221045,20.471954274518612,3.5848532651791936,6.729547036878062,142.86224968768244
,2012-03-01,50.528055210230825,19.247770269491898,22.9398323307715,10.126667458245095,7.75644985705732,20.249433032404283,3.545887468818546,6.656399786477215,141.05049541349666
,2012-06-01,48.76060101978246,23.426067031020104,22.569056560735334,11.971836459033629,7.687140354544173,20.249433032404283,3.545887468818547,6.656399786477212,144.86642171281574
2012-13,2012-09-01,47.106247366287306,25.313090639835043,23.52028123257914,11.553795856953656,7.512588102686903,20.59294307525015,3.349183441583925,4.361221398311189,143.3093511134873
,2012-12-01,45.572820884476236,22.58750098211289,23.946276558914555,11.355158775086009,7.500358853642945,20.59294307525015,3.3491834415839246,4.361221398311189,139.26546396937792
,2013-03-01,47.13920183103162,20.114772036531363,23.43256916990307,10.650121132156205,7.3063190648382905,20.145270399701236,3.276375105897319,4.266412237478342,136.33104097753747
,2013-06-01,47.148616509705946,24.914593092378702,23.16906179888933,11.597651984038125,7.369874306862925,20.36910673747569,3.3127792737406248,4.3138168178947645,142.19550052098612
2013-14,2013-09-01,44.52856190119293,25.009556431270596,24.036344833641184,10.800634672025797,7.500925083445281,20.67555507415166,3.336671711278469,5.133356228557744,141.02160593556363
,2013-12-01,43.937344732587434,22.848808113228014,24.234842964980484,10.913648169662956,7.499822938632342,20.675555074151656,3.33667171127847,5.133356228557744,138.5800499330791
,2014-03-01,46.82824979412845,21.074355707384537,23.00192561755343,10.735096910267554,7.271242891035654,20.226086485583146,3.2641353697289386,5.021761527936926,137.42285430361864
,2014-06-01,45.43298491879624,23.65983021252219,22.872734946998275,10.651462666857645,7.347158860786019,20.450820779867403,3.300403540503704,5.077558878247335,138.79295480457884
2014-15,2014-09-01,47.427706021800915,24.454422145968625,24.272648667857247,13.042776211136504,7.666713568835649,19.89730762585958,3.2068992558964666,-0.8367248872703624,139.13174861008463
,2014-12-01,46.614288425056905,20.419086633231988,24.70338179819378,11.864174262911245,7.6551549951669635,19.89730762585958,3.206899255896468,-0.8367248872703622,133.5235681090466
,2015-03-01,47.68916303494855,19.757443579168104,23.868976748397763,11.031385241121713,7.541376064501781,19.464757460080026,3.1371840546813266,-0.8185352158079577,131.67175096709127
,2015-06-01,47.22820360935364,24.025508069777196,23.356041610682222,12.334939744760803,7.614961044543774,19.681032542969803,3.1720416552888984,-0.8276300515391615,136.58509822583719
2015-16,2015-09-01,49.27414783855842,23.79997011825381,24.6733935676381,12.724964700722833,7.709775036133951,19.573228177461097,3.288774494481775,-10.022425261462349,131.02182867178763
,2015-12-01,47.86062495141272,21.722534354185903,24.964537995867683,12.740905928233197,7.706597181877643,19.573228177461097,3.288774494481775,-10.022425261462347,127.83477782205766
,2016-03-01,49.47130244867687,20.048408497154288,24.31719832230515,12.129464566315923,7.568402172885648,19.3604756972713,3.2530269456287106,-9.913485856446457,126.23479279379144
,2016-06-01,48.13004701097419,23.650707424098705,23.399774881426755,11.939146521481181,7.57189053469029,19.3604756972713,3.2530269456287106,-9.913485856446457,127.39158315912466
2016-17,2016-09-01,48.031055043191735,23.066364788168453,24.993214759402196,12.999364637162442,7.916548466871679,20.63252016636342,3.361866180625631,-12.54516295881301,128.45577108297252
,2016-12-01,44.231562771287734,23.058059639707565,25.366099799009795,12.644906469625086,7.888796368379152,20.632520166363424,3.361866180625632,-12.54516295881301,124.63864843618536
,2017-03-01,48.71462110288923,21.830076378463264,24.47493877165903,12.463454193869318,7.6394647672521,20.183987119268576,3.2887821332207317,-12.272442024925777,126.32288244169648
,2017-06-01,48.809349518130425,25.147598365629708,23.963267817905876,13.438831743422499,7.708373490624497,20.40825364281601,3.325324156923178,-12.40880249186939,130.39219624358282
2017-18,2017-09-01,46.35753218079512,25.49176166578267,25.482798845820206,14.201439604025541,7.889768182075828,20.310695885778447,3.242906561215942,-11.746019997344067,131.23088292814967
,2017-12-01,44.91112498303974,23.39854633000136,25.773269034274243,13.712821442675798,7.899258071553828,20.310695885778447,3.242906561215942,-11.746019997344067,127.50260231119529
,2018-03-01,46.6240883138588,21.599050925480313,25.099804581142564,12.818655723937638,7.960525996475272,19.869159018696312,3.1724085924938596,-11.490671736532246,125.6530214155525
,2018-06-01,45.769404909284674,25.828232510320024,24.72039674950214,13.781493363737042,8.061125535252588,20.08992745223738,3.207657576854904,-11.618345866938157,129.8398922302506
2018-19,2018-09-01,45.410124952044704,27.197879066401274,25.549556314791616,13.493276113197105,8.309338321600602,18.92071082622908,3.343937549979589,-12.448450540378245,129.77637260386572
,2018-12-01,43.73607321374517,23.14858361597874,26.256741521729708,14.302962100312026,8.103415472537039,18.92071082622908,3.343937549979589,-12.448450540378243,125.36397376013309
,2019-03-01,46.37817985884589,21.697821916024708,24.573467554341182,13.15471721976696,7.914903081143781,18.509391025658886,3.2712432554148143,-12.177832050370027,123.32189186082621
,2019-06-01,43.82231970487737,26.12980114243538,24.61647652327624,14.894710467435768,8.222014415004512,18.71505092594398,3.3075904026972016,-12.313141295374137,127.39482228629633
