Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.80000000000001,16.6,143.4
,2001-12-01,123.30000000000001,16.6,139.9
,2002-03-01,121.2,16.2,137.4
,2002-06-01,124.9,16.4,141.3
2002-03,2002-09-01,127.7,18.7,146.4
,2002-12-01,125.10000000000001,18.7,143.8
,2003-03-01,121.39999999999999,18.3,139.7
,2003-06-01,124.1,18.5,142.6
2003-04,2003-09-01,130.5,16.6,147.1
,2003-12-01,128.20000000000002,16.6,144.8
,2004-03-01,128.29999999999998,16.4,144.7
,2004-06-01,129.0,16.4,145.4
2004-05,2004-09-01,133.5,22.4,155.9
,2004-12-01,130.5,22.4,152.9
,2005-03-01,127.4,21.9,149.3
,2005-06-01,130.5,22.1,152.6
2005-06,2005-09-01,133.2,21.4,154.6
,2005-12-01,131.4,21.4,152.8
,2006-03-01,129.3,21.0,150.3
,2006-06-01,132.60000000000002,21.2,153.8
2006-07,2006-09-01,134.8,23.7,158.5
,2006-12-01,134.20000000000002,23.7,157.9
,2007-03-01,131.60000000000002,23.2,154.8
,2007-06-01,132.4,23.4,155.8
2007-08,2007-09-01,137.89999999999998,19.8,157.7
,2007-12-01,133.2,19.8,153.0
,2008-03-01,132.3,19.6,151.9
,2008-06-01,133.5,19.6,153.1
2008-09,2008-09-01,140.4,17.6,158.0
,2008-12-01,136.6,17.6,154.2
,2009-03-01,130.10000000000002,17.2,147.3
,2009-06-01,132.79999999999998,17.4,150.2
2009-10,2009-09-01,134.79999999999998,12.3,147.1
,2009-12-01,135.0,12.3,147.3
,2010-03-01,133.3,12.0,145.3
,2010-06-01,133.20000000000002,12.1,145.3
2010-11,2010-09-01,137.9,7.4,145.3
,2010-12-01,133.9,7.4,141.3
,2011-03-01,131.9,7.2,139.1
,2011-06-01,134.6,7.3,141.9
2011-12,2011-09-01,137.70000000000002,4.6,142.3
,2011-12-01,134.6,4.6,139.2
,2012-03-01,133.6,4.5,138.1
,2012-06-01,134.2,4.5,138.7
2012-13,2012-09-01,134.6,1.8,136.4
,2012-12-01,133.5,1.8,135.3
,2013-03-01,130.2,1.8,132.0
,2013-06-01,132.0,1.8,133.8
2013-14,2013-09-01,132.4,2.0,134.4
,2013-12-01,131.6,2.0,133.6
,2014-03-01,131.3,2.0,133.3
,2014-06-01,130.7,2.0,132.7
2014-15,2014-09-01,136.0,-0.9,135.1
,2014-12-01,133.5,-0.9,132.6
,2015-03-01,131.4,-0.9,130.5
,2015-06-01,133.3,-0.9,132.4
2015-16,2015-09-01,137.6,-4.1,133.5
,2015-12-01,136.1,-4.1,132.0
,2016-03-01,136.1,-4.1,132.0
,2016-06-01,134.6,-4.1,130.5
2016-17,2016-09-01,139.8,-4.9,134.9
,2016-12-01,137.3,-4.9,132.4
,2017-03-01,137.10000000000002,-4.8,132.3
,2017-06-01,137.8,-4.8,133.0
2017-18,2017-09-01,138.7,-5.0,133.7
,2017-12-01,137.6,-5.0,132.6
,2018-03-01,136.9,-4.8,132.1
,2018-06-01,138.9,-4.9,134.0
2018-19,2018-09-01,138.6,-4.9,133.7
,2018-12-01,138.1,-4.9,133.2
,2019-03-01,136.7,-4.7,132.0
,2019-06-01,137.9,-4.8,133.1
