Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,129.6,15.8,145.4
,2001-12-01,126.3,15.8,142.1
,2002-03-01,124.19999999999999,18.4,142.6
,2002-06-01,128.0,18.6,146.6
2002-03,2002-09-01,130.0,18.8,148.8
,2002-12-01,127.50000000000001,18.8,146.3
,2003-03-01,123.60000000000001,12.2,135.8
,2003-06-01,126.29999999999998,12.4,138.7
2003-04,2003-09-01,132.4,12.5,144.9
,2003-12-01,130.1,12.5,142.6
,2004-03-01,130.2,13.4,143.6
,2004-06-01,131.0,13.4,144.4
2004-05,2004-09-01,135.8,13.6,149.4
,2004-12-01,132.8,13.6,146.4
,2005-03-01,129.7,19.8,149.5
,2005-06-01,132.9,20.0,152.9
2005-06,2005-09-01,135.20000000000002,20.2,155.4
,2005-12-01,133.5,20.2,153.7
,2006-03-01,131.60000000000002,19.7,151.3
,2006-06-01,134.79999999999998,19.9,154.7
2006-07,2006-09-01,137.5,20.1,157.6
,2006-12-01,136.8,20.1,156.9
,2007-03-01,134.29999999999998,13.3,147.6
,2007-06-01,134.9,13.4,148.3
2007-08,2007-09-01,140.2,13.5,153.7
,2007-12-01,135.6,13.5,149.1
,2008-03-01,134.7,11.5,146.2
,2008-06-01,135.9,11.5,147.4
2008-09,2008-09-01,142.8,11.7,154.5
,2008-12-01,139.10000000000002,11.7,150.8
,2009-03-01,132.4,11.1,143.5
,2009-06-01,135.0,11.2,146.2
2009-10,2009-09-01,136.89999999999998,11.3,148.2
,2009-12-01,137.1,11.3,148.4
,2010-03-01,136.1,8.5,144.6
,2010-06-01,135.8,8.6,144.4
2010-11,2010-09-01,140.3,8.7,149.0
,2010-12-01,136.3,8.7,145.0
,2011-03-01,134.7,0.9,135.6
,2011-06-01,137.29999999999998,0.9,138.2
2011-12,2011-09-01,140.5,0.9,141.4
,2011-12-01,137.5,0.9,138.4
,2012-03-01,135.5,3.2,138.7
,2012-06-01,135.8,3.2,139.0
2012-13,2012-09-01,137.5,3.3,140.8
,2012-12-01,136.1,3.3,139.4
,2013-03-01,133.10000000000002,2.2,135.3
,2013-06-01,134.8,2.2,137.0
2013-14,2013-09-01,134.20000000000002,2.2,136.4
,2013-12-01,133.5,2.2,135.7
,2014-03-01,133.0,2.4,135.4
,2014-06-01,132.2,2.4,134.6
2014-15,2014-09-01,136.7,2.4,139.1
,2014-12-01,134.6,2.4,137.0
,2015-03-01,132.20000000000002,3.7,135.9
,2015-06-01,133.5,3.7,137.2
