Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,129.7,14.9,144.6
,2001-12-01,126.4,14.9,141.3
,2002-03-01,124.19999999999999,18.5,142.7
,2002-06-01,127.99999999999999,18.7,146.7
2002-03,2002-09-01,130.0,18.9,148.9
,2002-12-01,127.6,18.9,146.5
,2003-03-01,123.7,12.7,136.4
,2003-06-01,126.29999999999998,12.9,139.2
2003-04,2003-09-01,132.6,13.0,145.6
,2003-12-01,130.2,13.0,143.2
,2004-03-01,130.3,13.5,143.8
,2004-06-01,131.0,13.5,144.5
2004-05,2004-09-01,136.0,13.7,149.7
,2004-12-01,132.9,13.7,146.6
,2005-03-01,129.9,18.9,148.8
,2005-06-01,133.1,19.1,152.2
2005-06,2005-09-01,135.29999999999998,19.3,154.6
,2005-12-01,133.6,19.3,152.9
,2006-03-01,131.7,18.9,150.6
,2006-06-01,135.0,19.1,154.1
2006-07,2006-09-01,137.39999999999998,19.3,156.7
,2006-12-01,136.7,19.3,156.0
,2007-03-01,134.2,11.8,146.0
,2007-06-01,134.79999999999998,11.9,146.7
2007-08,2007-09-01,140.3,12.0,152.3
,2007-12-01,135.7,12.0,147.7
,2008-03-01,134.8,11.2,146.0
,2008-06-01,136.0,11.2,147.2
2008-09,2008-09-01,143.1,11.3,154.4
,2008-12-01,139.39999999999998,11.3,150.7
,2009-03-01,132.7,10.8,143.5
,2009-06-01,135.29999999999998,10.9,146.2
2009-10,2009-09-01,137.3,11.0,148.3
,2009-12-01,137.5,11.0,148.5
,2010-03-01,136.3,7.0,143.3
,2010-06-01,136.2,7.0,143.2
2010-11,2010-09-01,139.9,7.1,147.0
,2010-12-01,135.9,7.1,143.0
,2011-03-01,134.29999999999998,0.9,135.2
,2011-06-01,137.0,0.9,137.9
2011-12,2011-09-01,140.7,0.9,141.6
,2011-12-01,137.6,0.9,138.5
,2012-03-01,135.6,3.1,138.7
,2012-06-01,135.9,3.1,139.0
2012-13,2012-09-01,137.4,3.2,140.6
,2012-12-01,136.10000000000002,3.2,139.3
,2013-03-01,133.1,3.0,136.1
,2013-06-01,134.9,3.0,137.9
2013-14,2013-09-01,134.6,3.1,137.7
,2013-12-01,134.1,3.1,137.2
,2014-03-01,133.6,2.6,136.2
,2014-06-01,132.70000000000002,2.6,135.3
2014-15,2014-09-01,137.1,2.6,139.7
,2014-12-01,135.0,2.6,137.6
,2015-03-01,132.60000000000002,2.7,135.3
,2015-06-01,133.70000000000002,2.7,136.4
2015-16,2015-09-01,137.5,2.8,140.3
