Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.80000000000001,16.6,143.4
,2001-12-01,123.30000000000001,16.6,139.9
,2002-03-01,121.2,16.2,137.4
,2002-06-01,124.9,16.4,141.3
2002-03,2002-09-01,127.7,18.7,146.4
,2002-12-01,125.10000000000001,18.7,143.8
,2003-03-01,121.39999999999999,18.3,139.7
,2003-06-01,124.1,18.5,142.6
2003-04,2003-09-01,130.5,16.6,147.1
,2003-12-01,128.20000000000002,16.6,144.8
,2004-03-01,128.29999999999998,16.4,144.7
,2004-06-01,129.0,16.4,145.4
2004-05,2004-09-01,133.5,22.4,155.9
,2004-12-01,130.5,22.4,152.9
,2005-03-01,127.4,21.9,149.3
,2005-06-01,130.5,22.1,152.6
2005-06,2005-09-01,133.2,21.4,154.6
,2005-12-01,131.4,21.4,152.8
,2006-03-01,129.3,21.0,150.3
,2006-06-01,132.60000000000002,21.2,153.8
2006-07,2006-09-01,134.8,23.7,158.5
,2006-12-01,134.20000000000002,23.7,157.9
,2007-03-01,131.60000000000002,23.2,154.8
,2007-06-01,132.4,23.4,155.8
2007-08,2007-09-01,137.89999999999998,19.8,157.7
,2007-12-01,133.2,19.8,153.0
,2008-03-01,132.3,19.6,151.9
,2008-06-01,133.5,19.6,153.1
2008-09,2008-09-01,140.70000000000002,17.6,158.3
,2008-12-01,136.9,17.6,154.5
,2009-03-01,130.3,17.2,147.5
,2009-06-01,133.0,17.4,150.4
2009-10,2009-09-01,135.0,12.3,147.3
,2009-12-01,135.2,12.3,147.5
,2010-03-01,133.5,12.0,145.5
,2010-06-01,133.5,12.1,145.6
2010-11,2010-09-01,137.9,7.4,145.3
,2010-12-01,133.9,7.4,141.3
,2011-03-01,131.9,7.2,139.1
,2011-06-01,134.6,7.3,141.9
2011-12,2011-09-01,137.8,4.6,142.4
,2011-12-01,134.70000000000002,4.6,139.3
,2012-03-01,133.7,4.5,138.2
,2012-06-01,134.4,4.5,138.9
2012-13,2012-09-01,134.7,1.8,136.5
,2012-12-01,133.6,1.8,135.4
,2013-03-01,130.29999999999998,1.8,132.1
,2013-06-01,132.1,1.8,133.9
2013-14,2013-09-01,132.2,2.0,134.2
,2013-12-01,131.4,2.0,133.4
,2014-03-01,131.1,2.0,133.1
,2014-06-01,130.5,2.0,132.5
2014-15,2014-09-01,136.3,-0.9,135.4
,2014-12-01,133.8,-0.9,132.9
,2015-03-01,131.70000000000002,-0.9,130.8
,2015-06-01,133.6,-0.9,132.7
2015-16,2015-09-01,138.2,-4.1,134.1
,2015-12-01,136.7,-4.1,132.6
,2016-03-01,136.7,-4.1,132.6
,2016-06-01,135.29999999999998,-4.1,131.2
2016-17,2016-09-01,140.4,-4.9,135.5
,2016-12-01,137.9,-4.9,133.0
,2017-03-01,137.60000000000002,-4.8,132.8
,2017-06-01,138.3,-4.8,133.5
2017-18,2017-09-01,139.9,-5.0,134.9
,2017-12-01,138.8,-5.0,133.8
,2018-03-01,137.60000000000002,-4.8,132.8
,2018-06-01,140.0,-4.9,135.1
2018-19,2018-09-01,140.3,-4.9,135.4
,2018-12-01,139.9,-4.9,135.0
