Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,129.79999999999998,15.8,145.6
,2001-12-01,126.50000000000001,15.8,142.3
,2002-03-01,124.4,18.4,142.8
,2002-06-01,128.20000000000002,18.6,146.8
2002-03,2002-09-01,130.1,18.8,148.9
,2002-12-01,127.7,18.8,146.5
,2003-03-01,123.8,12.2,136.0
,2003-06-01,126.4,12.4,138.8
2003-04,2003-09-01,132.6,12.5,145.1
,2003-12-01,130.3,12.5,142.8
,2004-03-01,130.29999999999998,13.4,143.7
,2004-06-01,131.1,13.4,144.5
2004-05,2004-09-01,136.0,13.6,149.6
,2004-12-01,132.9,13.6,146.5
,2005-03-01,129.79999999999998,19.8,149.6
,2005-06-01,133.1,20.0,153.1
2005-06,2005-09-01,135.3,20.2,155.5
,2005-12-01,133.60000000000002,20.2,153.8
,2006-03-01,131.70000000000002,19.7,151.4
,2006-06-01,135.0,19.9,154.9
2006-07,2006-09-01,137.70000000000002,20.1,157.8
,2006-12-01,136.9,20.1,157.0
,2007-03-01,134.39999999999998,13.3,147.7
,2007-06-01,135.0,13.4,148.4
2007-08,2007-09-01,140.3,13.5,153.8
,2007-12-01,135.7,13.5,149.2
,2008-03-01,134.9,11.5,146.4
,2008-06-01,136.0,11.5,147.5
2008-09,2008-09-01,142.9,11.7,154.6
,2008-12-01,139.20000000000002,11.7,150.9
,2009-03-01,132.5,11.1,143.6
,2009-06-01,135.10000000000002,11.2,146.3
2009-10,2009-09-01,137.1,11.3,148.4
,2009-12-01,137.2,11.3,148.5
,2010-03-01,136.2,8.5,144.7
,2010-06-01,136.0,8.6,144.6
2010-11,2010-09-01,140.4,8.7,149.1
,2010-12-01,136.4,8.7,145.1
,2011-03-01,134.79999999999998,0.9,135.7
,2011-06-01,137.5,0.9,138.4
2011-12,2011-09-01,140.6,0.9,141.5
,2011-12-01,137.6,0.9,138.5
,2012-03-01,135.60000000000002,3.2,138.8
,2012-06-01,136.0,3.2,139.2
2012-13,2012-09-01,137.79999999999998,3.3,141.1
,2012-12-01,136.5,3.3,139.8
,2013-03-01,133.4,1.9,135.3
,2013-06-01,135.1,1.9,137.0
2013-14,2013-09-01,133.7,1.9,135.6
,2013-12-01,133.29999999999998,1.9,135.2
,2014-03-01,132.9,2.5,135.4
,2014-06-01,132.0,2.6,134.6
2014-15,2014-09-01,136.1,2.6,138.7
,2014-12-01,134.0,2.6,136.6
,2015-03-01,131.79999999999998,3.4,135.2
