Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,18.0,144.9,126.9
,2001-12-01,18.0,141.4,123.4
,2002-03-01,17.6,138.8,121.20000000000002
,2002-06-01,17.8,142.8,125.00000000000001
2002-03,2002-09-01,18.4,146.3,127.9
,2002-12-01,18.4,143.7,125.29999999999998
,2003-03-01,18.0,139.6,121.6
,2003-06-01,18.2,142.5,124.3
2003-04,2003-09-01,15.3,145.9,130.6
,2003-12-01,15.3,143.6,128.29999999999998
,2004-03-01,15.1,143.4,128.3
,2004-06-01,15.1,144.1,129.0
2004-05,2004-09-01,20.7,154.4,133.70000000000002
,2004-12-01,20.7,151.4,130.70000000000002
,2005-03-01,20.3,147.8,127.50000000000001
,2005-06-01,20.5,151.1,130.6
2005-06,2005-09-01,22.2,155.4,133.20000000000002
,2005-12-01,22.2,153.6,131.4
,2006-03-01,21.7,151.0,129.3
,2006-06-01,21.9,154.6,132.7
2006-07,2006-09-01,20.7,156.0,135.3
,2006-12-01,20.7,155.3,134.60000000000002
,2007-03-01,20.2,152.3,132.10000000000002
,2007-06-01,20.5,153.2,132.7
2007-08,2007-09-01,12.6,150.7,138.1
,2007-12-01,12.6,146.0,133.4
,2008-03-01,12.5,144.9,132.4
,2008-06-01,12.5,146.1,133.6
2008-09,2008-09-01,9.1,150.1,141.0
,2008-12-01,9.1,146.3,137.20000000000002
,2009-03-01,8.9,139.6,130.7
,2009-06-01,9.0,142.3,133.3
2009-10,2009-09-01,5.7,140.9,135.20000000000002
,2009-12-01,5.7,141.1,135.4
,2010-03-01,5.6,139.3,133.70000000000002
,2010-06-01,5.7,139.2,133.5
2010-11,2010-09-01,2.5,140.7,138.2
,2010-12-01,2.5,136.5,134.0
,2011-03-01,2.4,134.5,132.1
,2011-06-01,2.5,137.2,134.7
2011-12,2011-09-01,-4.8,133.4,138.20000000000002
,2011-12-01,-4.8,130.3,135.10000000000002
,2012-03-01,-4.7,129.2,133.89999999999998
,2012-06-01,-4.7,129.9,134.6
2012-13,2012-09-01,-4.8,130.0,134.8
,2012-12-01,-4.8,129.0,133.8
,2013-03-01,-4.7,125.8,130.5
,2013-06-01,-4.8,127.5,132.3
2013-14,2013-09-01,-1.6,130.9,132.5
,2013-12-01,-1.6,130.1,131.7
,2014-03-01,-1.6,129.9,131.5
,2014-06-01,-1.6,129.3,130.9
2014-15,2014-09-01,-5.1,131.5,136.6
,2014-12-01,-5.1,129.0,134.1
,2015-03-01,-5.0,127.1,132.1
,2015-06-01,-5.1,128.8,133.9
2015-16,2015-09-01,-6.1,132.3,138.4
,2015-12-01,-6.1,130.7,136.79999999999998
,2016-03-01,-6.0,130.8,136.8
,2016-06-01,-6.0,129.4,135.4
2016-17,2016-09-01,-5.4,134.1,139.5
,2016-12-01,-5.4,132.0,137.4
,2017-03-01,-5.3,131.8,137.10000000000002
,2017-06-01,-5.4,132.5,137.9
2017-18,2017-09-01,-5.5,132.9,138.4
,2017-12-01,-5.5,132.3,137.8
,2018-03-01,-5.4,132.9,138.3
,2018-06-01,-5.4,135.6,141.0
