Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,129.70000000000002,15.7,145.4
,2001-12-01,126.39999999999999,15.7,142.1
,2002-03-01,124.2,17.8,142.0
,2002-06-01,128.0,18.0,146.0
2002-03,2002-09-01,130.4,18.2,148.6
,2002-12-01,127.99999999999999,18.2,146.2
,2003-03-01,124.1,11.5,135.6
,2003-06-01,126.80000000000001,11.6,138.4
2003-04,2003-09-01,132.5,11.7,144.2
,2003-12-01,130.20000000000002,11.7,141.9
,2004-03-01,130.1,13.1,143.2
,2004-06-01,130.9,13.1,144.0
2004-05,2004-09-01,136.20000000000002,13.2,149.4
,2004-12-01,133.10000000000002,13.2,146.3
,2005-03-01,130.1,18.8,148.9
,2005-06-01,133.3,19.0,152.3
2005-06,2005-09-01,135.10000000000002,19.2,154.3
,2005-12-01,133.70000000000002,19.2,152.9
,2006-03-01,131.7,19.4,151.1
,2006-06-01,135.0,19.6,154.6
2006-07,2006-09-01,137.79999999999998,19.8,157.6
,2006-12-01,137.1,19.8,156.9
,2007-03-01,134.5,13.0,147.5
,2007-06-01,135.20000000000002,13.1,148.3
2007-08,2007-09-01,140.3,13.2,153.5
,2007-12-01,135.70000000000002,13.2,148.9
,2008-03-01,134.9,11.1,146.0
,2008-06-01,136.1,11.1,147.2
2008-09,2008-09-01,142.7,11.3,154.0
,2008-12-01,138.89999999999998,11.3,150.2
,2009-03-01,132.2,10.9,143.1
,2009-06-01,134.9,11.0,145.9
2009-10,2009-09-01,136.9,11.1,148.0
,2009-12-01,137.20000000000002,11.1,148.3
,2010-03-01,136.20000000000002,7.7,143.9
,2010-06-01,135.89999999999998,7.8,143.7
2010-11,2010-09-01,140.29999999999998,7.9,148.2
,2010-12-01,136.2,7.9,144.1
,2011-03-01,134.79999999999998,0.9,135.7
,2011-06-01,137.5,0.9,138.4
2011-12,2011-09-01,140.5,1.0,141.5
,2011-12-01,137.6,1.0,138.6
,2012-03-01,135.6,2.4,138.0
,2012-06-01,135.9,2.4,138.3
2012-13,2012-09-01,137.9,2.4,140.3
,2012-12-01,136.5,2.4,138.9
,2013-03-01,133.4,1.9,135.3
,2013-06-01,135.1,1.9,137.0
2013-14,2013-09-01,134.29999999999998,1.9,136.2
,2013-12-01,133.6,1.9,135.5
,2014-03-01,133.4,3.5,136.9
,2014-06-01,132.1,3.5,135.6
2014-15,2014-09-01,136.79999999999998,1.9,138.7
